particle#	x_coord	y_coord	image_name
713	2432	428	06jul12a_00022gr_00037sq_00025hl_00005en
714	2508	612	06jul12a_00022gr_00037sq_00025hl_00005en
715	2660	516	06jul12a_00022gr_00037sq_00025hl_00005en
716	2900	168	06jul12a_00022gr_00037sq_00025hl_00005en
717	3564	176	06jul12a_00022gr_00037sq_00025hl_00005en
718	2996	896	06jul12a_00022gr_00037sq_00025hl_00005en
719	2672	972	06jul12a_00022gr_00037sq_00025hl_00005en
720	3900	876	06jul12a_00022gr_00037sq_00025hl_00005en
721	3248	1524	06jul12a_00022gr_00037sq_00025hl_00005en
722	2592	1608	06jul12a_00022gr_00037sq_00025hl_00005en
723	2372	1688	06jul12a_00022gr_00037sq_00025hl_00005en
724	2172	1784	06jul12a_00022gr_00037sq_00025hl_00005en
725	2756	2288	06jul12a_00022gr_00037sq_00025hl_00005en
726	3164	2156	06jul12a_00022gr_00037sq_00025hl_00005en
727	3324	2000	06jul12a_00022gr_00037sq_00025hl_00005en
728	3764	1884	06jul12a_00022gr_00037sq_00025hl_00005en
729	3800	1680	06jul12a_00022gr_00037sq_00025hl_00005en
730	3912	1932	06jul12a_00022gr_00037sq_00025hl_00005en
731	3900	2112	06jul12a_00022gr_00037sq_00025hl_00005en
732	3368	2316	06jul12a_00022gr_00037sq_00025hl_00005en
733	3020	2292	06jul12a_00022gr_00037sq_00025hl_00005en
734	2972	2528	06jul12a_00022gr_00037sq_00025hl_00005en
735	3168	2412	06jul12a_00022gr_00037sq_00025hl_00005en
736	2888	2756	06jul12a_00022gr_00037sq_00025hl_00005en
737	2888	3012	06jul12a_00022gr_00037sq_00025hl_00005en
738	3680	2540	06jul12a_00022gr_00037sq_00025hl_00005en
739	3812	3236	06jul12a_00022gr_00037sq_00025hl_00005en
740	3828	3504	06jul12a_00022gr_00037sq_00025hl_00005en
741	3608	3596	06jul12a_00022gr_00037sq_00025hl_00005en
742	3108	3648	06jul12a_00022gr_00037sq_00025hl_00005en
743	2652	3596	06jul12a_00022gr_00037sq_00025hl_00005en
744	2432	3480	06jul12a_00022gr_00037sq_00025hl_00005en
745	2160	3680	06jul12a_00022gr_00037sq_00025hl_00005en
746	1604	3644	06jul12a_00022gr_00037sq_00025hl_00005en
747	1004	3596	06jul12a_00022gr_00037sq_00025hl_00005en
748	944	3740	06jul12a_00022gr_00037sq_00025hl_00005en
749	644	3768	06jul12a_00022gr_00037sq_00025hl_00005en
750	216	3708	06jul12a_00022gr_00037sq_00025hl_00005en
751	1928	3080	06jul12a_00022gr_00037sq_00025hl_00005en
752	1856	2904	06jul12a_00022gr_00037sq_00025hl_00005en
753	2028	2832	06jul12a_00022gr_00037sq_00025hl_00005en
754	3024	3884	06jul12a_00022gr_00037sq_00025hl_00005en
755	3500	3848	06jul12a_00022gr_00037sq_00025hl_00005en
756	704	1628	06jul12a_00022gr_00037sq_00025hl_00004en
757	488	1656	06jul12a_00022gr_00037sq_00025hl_00004en
758	576	1304	06jul12a_00022gr_00037sq_00025hl_00004en
759	788	1424	06jul12a_00022gr_00037sq_00025hl_00004en
760	1008	1116	06jul12a_00022gr_00037sq_00025hl_00004en
761	1020	548	06jul12a_00022gr_00037sq_00025hl_00004en
762	848	420	06jul12a_00022gr_00037sq_00025hl_00004en
763	1172	368	06jul12a_00022gr_00037sq_00025hl_00004en
764	1968	572	06jul12a_00022gr_00037sq_00025hl_00004en
765	2252	512	06jul12a_00022gr_00037sq_00025hl_00004en
766	2180	684	06jul12a_00022gr_00037sq_00025hl_00004en
767	2100	1116	06jul12a_00022gr_00037sq_00025hl_00004en
768	2088	1292	06jul12a_00022gr_00037sq_00025hl_00004en
769	1880	1256	06jul12a_00022gr_00037sq_00025hl_00004en
770	1988	1500	06jul12a_00022gr_00037sq_00025hl_00004en
